year,StateCode,CountyCode,meanIncome,medianIncome,povertyPop,medianAge
2011,51,179,42033,42033,2266,34.4
2011,51,199,23436,23436,1652,40
2011,51,510,64723,64723,6309,35.7
2011,51,550,78004,78004,7926,36.7
2011,51,650,51006,51006,10430,36
2011,51,680,29648,29648,8618,29.9
2011,51,700,66533,66533,10890,32.8
2011,51,710,86480,86480,18012,29.7
2011,51,740,36207,36207,7204,34.7
2011,51,760,84355,84355,31293,32.1
2011,51,770,41267,41267,8808,39.5
2011,51,800,30199,30199,3801,38.5
2011,51,810,162521,162521,19901,34.9
2011,53,005,65598,65598,9402,36
2011,53,007,26943,26943,3427,40.5
2011,53,009,31458,31458,2401,49.5
2011,53,011,160304,160304,23401,37
2011,53,015,40659,40659,5622,40.5
2011,53,021,23332,23332,6804,28.1
2011,53,025,31009,31009,6907,32.5
2011,53,027,25619,25619,6682,42.3
2011,53,029,32932,32932,2975,44.8
2011,53,033,797665,797665,115607,37.1
2011,53,035,100688,100688,11418,39.3
2011,53,041,29829,29829,2981,41.7
2011,53,053,298160,298160,44393,35.7
2011,38,015,34483,34483,3406,36.9
2011,38,017,65891,65891,9311,31.5
2011,38,035,27255,27255,5270,28.8
2011,39,003,40269,40269,9785,37.5
2011,39,007,39383,39383,9234,41.2
2011,39,013,28113,28113,3363,43.4
2011,39,017,134773,134773,23991,36.3
2011,39,023,54573,54573,14747,40.2
2011,39,025,74952,74952,8591,39.2
2011,39,029,42430,42430,6512,42.9
2011,39,035,533756,533756,110953,40.3
2011,39,041,65179,65179,3207,37.8
2011,39,043,31148,31148,4233,43.5
2011,39,045,55064,55064,6521,39.1
2011,39,049,465653,465653,103990,33.5
2011,39,055,34808,34808,1873,44.4
2011,39,057,63516,63516,13965,36.5
2011,39,061,315453,315453,75370,37.3
2011,39,063,29732,29732,5394,38.4
2011,39,081,27216,27216,6063,44.5
2011,39,085,93514,93514,9482,42.5
2011,39,089,64659,64659,9810,39.8
2011,39,093,117308,117308,20887,40.1
2011,39,095,177472,177472,50229,37.1
2011,39,099,98065,98065,13582,43.2
2011,39,101,24654,24654,3791,40.2
2011,39,103,65393,65393,7252,40.3
2011,39,109,41299,41299,6427,40.9
2011,39,113,223673,223673,43132,39.8
2011,39,119,34639,34639,7025,39.8
2011,39,133,59787,59787,12875,36.8
2011,39,139,48616,48616,8838,41.7
2011,39,141,28547,28547,3895,41.1
2011,39,145,28818,28818,6179,38.6
2011,39,151,148640,148640,28092,41.7
2011,39,153,214909,214909,41288,40.4
2011,39,155,86844,86844,16614,43.4
2011,39,157,37151,37151,6447,40.9
2011,39,165,76918,76918,4220,37.3
2011,39,169,42635,42635,6198,38.8
2011,39,173,48953,48953,9294,35.6
2011,40,017,44115,44115,4326,35.4
2011,40,027,94961,94961,20404,33
2011,40,031,44879,44879,5209,31.5
2011,40,037,25413,25413,5943,39.9
2011,40,101,26980,26980,7210,38.2
2011,40,109,283195,283195,55998,34
2011,40,119,30929,30929,8434,27.9
2011,40,125,25663,25663,5357,38
2011,40,131,33505,33505,3625,38.9
2011,40,143,240278,240278,45662,35.3
2011,40,145,26547,26547,3712,38.2
2011,41,003,33088,33088,13270,31.7
2011,41,005,145971,145971,20545,40.9
2011,41,017,64678,64678,8688,40
2011,41,019,43401,43401,6840,47.4
2011,41,029,84413,84413,15713,41.6
2011,41,033,34502,34502,6054,47.2
2011,41,035,26507,26507,6314,42.5
2011,41,039,145781,145781,40286,39
2011,41,043,45399,45399,6741,39.7
2011,41,047,110822,110822,26587,35.2
2011,41,051,308131,308131,63462,35.8
2011,41,053,28494,28494,6714,39.5
2011,41,059,26648,26648,6172,35
2011,41,067,202152,202152,27095,35.5
2011,41,071,32678,32678,6359,38.6
2011,42,001,38006,38006,3225,42
2011,42,003,518366,518366,79675,41.1
2011,42,005,28320,28320,2884,44.9
2011,42,007,70059,70059,8747,44.3
2011,42,011,155425,155425,25385,39.6
2011,42,013,50849,50849,8130,42.4
2011,42,017,232208,232208,15152,42.3
2011,42,019,73286,73286,6831,41.6
2011,42,021,57348,57348,6755,43.9
2011,42,025,25087,25087,3168,44.4
2011,42,027,58695,58695,18339,29.1
2011,42,029,184245,184245,17672,39.6
2011,42,033,32709,32709,3505,44.1
2011,42,037,25631,25631,6059,40.1
2011,42,039,34898,34898,3471,41.9
2011,42,041,94545,94545,7740,40.8
2011,42,043,107704,107704,15510,39.7
2011,42,045,204553,204553,26960,38.8
2011,42,049,109138,109138,17462,38.8
2011,42,051,54708,54708,11224,43.7
2011,42,055,56999,56999,4193,40.7
2011,42,063,34709,34709,8072,38.1
2011,42,069,86343,86343,10909,41.6
2011,42,071,193231,193231,22386,38.2
2011,42,073,36278,36278,6957,43.3
2011,42,075,51744,51744,8199,40.6
2011,42,077,133097,133097,23146,39
2011,42,079,130170,130170,21915,42.7
2011,42,081,46506,46506,7769,42.2
2011,42,085,46623,46623,4006,43.4
2011,42,089,57527,57527,13850,40.2
2011,42,091,306463,306463,25059,40.7
2011,42,095,111907,111907,12877,41.6
2011,42,097,39378,39378,4297,42.9
2011,42,101,576429,576429,195625,33.4
2011,42,107,60018,60018,6092,43.9
2011,42,111,28898,28898,3369,45.1
2011,42,125,83097,83097,9208,43.9
2011,42,129,152569,152569,14723,45.5
2011,42,133,167625,167625,19592,40.3
2011,44,003,67705,67705,6601,43
2011,44,005,33705,33705,3561,43.7
2011,44,007,240912,240912,52390,37
2011,44,009,50296,50296,4536,41.6
2011,45,003,63586,63586,13374,41
2011,45,007,72551,72551,11599,40.7
2011,45,013,62612,62612,7083,41.1
2011,45,015,67838,67838,15285,34.9
2011,45,019,141214,141214,31490,35.7
2011,45,031,26382,26382,6823,39.3
2011,45,035,49402,49402,8538,35.5
2011,45,041,50857,50857,13875,37.3
2011,45,045,176771,176771,29765,37.5
2011,45,047,27319,27319,6841,39.2
2011,45,051,109447,109447,22131,42.4
2011,45,057,29930,29930,6582,40.7
2011,45,059,22593,22593,9035,39.2
2011,45,063,105785,105785,18611,37.4
2011,45,073,29728,29728,7970,43.2
2011,45,075,33275,33275,11960,38.2
2011,01,003,74460,74460,8192,42
2011,01,015,44722,44722,10023,39.6
2011,01,043,31954,31954,4921,41.4
2011,01,049,27139,27139,3544,39.9
2011,01,051,28469,28469,5851,37.9
2011,01,055,40443,40443,8618,39.9
2011,01,069,39118,39118,7645,38.3
2011,01,073,255059,255059,51027,36.9
2011,01,077,39331,39331,7501,40.8
2011,01,081,56274,56274,15465,28.8
2011,01,083,32648,32648,5690,39.8
2011,01,089,133173,133173,17193,37.4
2011,01,095,33750,33750,8019,39.1
2011,01,097,157783,157783,33832,36.6
2011,01,101,86531,86531,21949,34.4
2011,01,103,45310,45310,9610,40
2011,01,115,33274,33274,8505,39.4
2011,01,117,74648,74648,4313,37.1
2011,01,121,32044,32044,8282,40.7
2011,01,125,67669,67669,16769,31.7
2011,01,127,26204,26204,4764,42.2
2011,02,020,106651,106651,11014,32.9
2011,02,090,37016,37016,4749,30.7
2011,02,170,33328,33328,5919,35.9
2011,04,001,19881,19881,11802,31.8
2011,04,003,47402,47402,12310,40.1
2011,04,005,44826,44826,12862,31.2
2011,04,013,1407161,1407161,307566,34.9
2011,04,015,78977,78977,18149,48.2
2011,04,017,33305,33305,15598,35.1
2011,04,019,379801,379801,90506,37.9
2011,04,021,122782,122782,33414,36.1
2011,04,025,91407,91407,13078,50.1
2011,04,027,71490,71490,17801,32.9
2011,05,007,82695,82695,10267,35
2011,05,031,37957,37957,8875,31.9
2011,05,045,43249,43249,7609,31.4
2011,05,051,38087,38087,7690,44.1
2011,05,069,28905,28905,5901,37.3
2011,05,085,25583,25583,3587,35.5
2011,05,119,152393,152393,30362,36.6
2011,05,125,42447,42447,3917,37.7
2011,05,131,47119,47119,9061,37.1
2011,05,143,80228,80228,20621,31
2011,05,145,30359,30359,5526,36.7
2011,06,001,545559,545559,94734,36.8
2011,06,007,83634,83634,21592,37.5
2011,06,013,376326,376326,49324,38.4
2011,06,017,68111,68111,7900,44.6
2011,06,019,286255,286255,99848,30.9
2011,06,023,51183,51183,12559,36.9
2011,06,025,48790,48790,19537,31.8
2011,06,029,254761,254761,84214,30.7
2011,06,031,40800,40800,13257,32.2
2011,06,033,28885,28885,3871,45.6
2011,06,037,3201795,3201795,754872,35
2011,06,039,40786,40786,14512,33.4
2011,06,041,101723,101723,10976,44.7
2011,06,045,32497,32497,7518,41.6
2011,06,047,74833,74833,23967,29.8
2011,06,053,123757,123757,27596,32.8
2011,06,055,49933,49933,9667,39.8
2011,06,057,41171,41171,3733,48.1
2011,06,059,992855,992855,159794,36.4
2011,06,061,133290,133290,14384,40.4
