year,StateCode,CountyCode,workers,medianHouseIncome,medianFamilyIncome,medianNonFamIncome,medianWorkerIncome
2011,34,013,400515,51009,64177,28935,34062
2011,34,015,157622,71850,86787,38593,40355
2011,34,017,363833,56546,60854,45581,36310
2011,34,019,70912,99099,110282,49095,50198
2011,34,021,197508,73890,92215,38910,36357
2011,34,023,433640,74522,87945,38823,40741
2011,34,025,336923,79334,99509,40350,41978
2011,34,027,272660,91332,109385,50441,48634
2011,34,029,266517,56929,71469,31882,36179
2011,34,031,250538,52382,61591,29500,31284
2011,34,033,32986,53926,67075,31160,32213
2011,34,035,177191,96360,110010,49909,51375
2011,34,037,84514,83839,96594,41318,41398
2011,34,039,292808,66398,80422,34870,33948
2011,34,041,58430,66594,79733,35768,39981
2011,35,001,340804,43916,54832,28811,27387
2011,35,005,30560,36282,45191,25400,25712
2011,35,013,101131,36101,42290,23565,19374
2011,35,025,29038,50758,58351,29942,30054
2011,35,031,26819,28983,35497,16870,18103
2011,35,035,28735,35308,42902,21064,21911
2011,35,043,63401,53214,63895,32190,30431
2011,35,045,57439,51728,63188,29455,27961
2011,35,049,81282,49959,62799,34231,26212
2011,35,061,32642,42802,52802,24300,26707
2011,36,001,165971,57062,75217,40398,34705
2011,36,005,638833,32058,36674,20663,23998
2011,36,007,95919,44158,59743,24597,25837
2011,36,009,37715,38932,47840,21521,23511
2011,36,011,40738,49256,60183,26700,29784
2011,36,013,63550,40927,48979,23616,23068
2011,36,015,41763,50120,60948,27541,30986
2011,36,019,40028,50872,63487,27347,26724
2011,36,027,157452,67727,82893,38181,32266
2011,36,029,470207,47533,61939,27670,30092
2011,36,045,59303,45500,51913,33179,26675
2011,36,047,1242714,42752,48923,31298,30845
2011,36,051,32756,50513,59291,29490,25820
2011,36,053,33839,50173,63776,26538,30212
2011,36,055,380880,50204,66655,30633,29790
2011,36,059,697609,91414,106147,42997,42176
2011,36,061,928152,66299,75322,60659,46264
2011,36,063,109606,45398,59906,26008,28744
2011,36,065,113717,46736,60730,27324,28625
2011,36,067,232346,53946,68659,30006,32255
2011,36,069,56423,52162,63675,36046,31434
2011,36,071,188736,66224,78308,35910,32700
2011,36,075,57133,43372,52980,28756,24925
2011,36,079,55325,90735,106948,32490,43571
2011,36,081,1174424,53572,61031,36213,31054
2011,36,083,89156,58943,71909,35323,30949
2011,36,085,224632,70578,82010,36778,43100
2011,36,087,158011,82217,91254,47169,38087
2011,36,089,51374,43578,51907,28441,22109
2011,36,091,121938,64250,81991,37377,36476
2011,36,093,82186,52505,69448,33931,30220
2011,36,101,48021,43457,52377,27552,27498
2011,36,103,779176,84106,96177,43351,40175
2011,36,105,37171,47978,60740,29030,27605
2011,36,109,54433,51586,75752,24091,25123
2011,36,111,94401,55006,68525,31688,28815
2011,36,113,33875,53110,60035,25454,28389
2011,36,117,48539,52597,66828,30892,30740
2011,36,119,487828,77006,99715,41361,40787
2011,37,001,76690,40699,51817,21177,26624
2011,37,019,45389,38584,46802,19144,21959
2011,37,021,125086,41422,52045,28085,24819
2011,37,023,40272,36706,45757,17728,25316
2011,37,025,90140,48668,58047,25303,29267
2011,37,027,38469,33198,43293,17406,23026
2011,37,031,33509,44429,55965,28392,24357
2011,37,035,75405,44369,52896,24543,26177
2011,37,045,46519,35753,46728,17798,24356
2011,37,049,53052,51298,60535,33651,25159
2011,37,051,164597,43577,50294,29074,28079
2011,37,057,83781,40281,50569,26025,26615
2011,37,063,145252,46231,57528,29521,28216
2011,37,067,179148,42911,55048,28021,26909
2011,37,071,106800,40674,50937,24099,26550
2011,37,081,259535,43419,56089,26564,27028
2011,37,085,56789,39513,49168,24868,25444
2011,37,089,49028,46789,57288,29906,25528
2011,37,097,79242,50241,58616,26750,30050
2011,37,101,89174,46915,56976,21786,27685
2011,37,109,41676,52147,62342,25315,31536
2011,37,119,523681,51935,63418,37308,30893
2011,37,125,38853,45158,57743,22481,26072
2011,37,127,48534,44261,51699,28318,24568
2011,37,129,107270,45719,65504,30214,26277
2011,37,133,99168,45573,51134,30915,23782
2011,37,135,71755,56482,83548,29593,30192
2011,37,147,87259,39047,53574,22816,22765
2011,37,151,70292,40301,50394,25061,27975
2011,37,155,55709,30806,35699,16568,21047
2011,37,157,42876,35816,44342,18581,26554
2011,37,159,62564,40008,46661,21811,25181
2011,37,161,29865,35786,43897,16974,24992
2011,37,171,34769,32310,41137,15923,23869
2011,37,179,102285,61048,69305,31013,34150
2011,37,183,501913,62141,79969,40133,34670
2011,37,191,62129,39085,47840,22591,25646
2011,37,193,29964,30181,36192,19064,21852
2011,37,195,40726,36508,41433,21673,24130
2011,38,015,49149,57460,75569,32285,31228
2011,38,017,96302,51442,71122,31055,27145
2011,38,035,38606,43917,67488,28446,24323
2011,39,003,53097,41307,52651,20351,23260
2011,39,007,46059,38204,46455,20609,23112
2011,39,013,32851,40981,51065,25183,22787
2011,39,017,191623,53138,66082,31314,29500
2011,39,023,64345,41292,50693,23664,25305
2011,39,025,103610,55934,68815,30720,31271
2011,39,029,49204,43975,52447,29625,27381
2011,39,035,640329,41530,56472,25727,29115
2011,39,041,96032,85365,98191,40962,45023
2011,39,043,38256,46949,58733,26528,25484
2011,39,045,76107,59607,71615,30981,31315
2011,39,049,637794,47029,62249,31977,30438
2011,39,055,49333,63855,84855,31832,35308
2011,39,057,81739,56194,69083,30515,29394
2011,39,061,419847,45940,62386,28562,30248
2011,39,063,40902,46742,60071,22538,25205
2011,39,081,31673,42075,51795,23859,25711
2011,39,085,127294,52690,65524,29755,31093
2011,39,089,86361,54887,66861,26385,30319
2011,39,093,151368,48280,58314,29689,28857
2011,39,095,218984,38421,49124,24217,23306
2011,39,099,116275,39356,49300,23363,22824
2011,39,101,28443,41133,50893,21856,28468
2011,39,103,93117,59572,68381,34214,32706
2011,39,109,52606,46759,55472,30886,30005
2011,39,113,262326,40602,54245,25427,26046
2011,39,119,41171,38259,49665,17941,24509
2011,39,133,88942,49554,62153,25967,26169
2011,39,139,57410,40117,51660,25624,26801
2011,39,141,35425,43464,54626,26215,28361
2011,39,145,31115,29657,41340,16619,20757
2011,39,151,190933,41827,54911,22419,25287
2011,39,153,281207,46429,59055,28063,28940
2011,39,155,95573,40867,51701,25253,25525
2011,39,157,47595,42082,52508,22678,25103
2011,39,165,111130,69201,77962,36826,36722
2011,39,169,57644,46827,56101,24792,25131
2011,39,173,68653,49792,63621,26806,25377
2011,40,017,63420,59329,65497,29398,32607
2011,40,027,138074,51606,63633,31616,26972
2011,40,031,64362,44585,51676,30548,25496
2011,40,037,30437,39030,49684,21534,27899
2011,40,101,28375,34440,41805,20246,21512
2011,40,109,370167,42893,55994,27260,25533
2011,40,119,41006,35181,50890,17255,15402
2011,40,125,31381,42272,53708,20609,26337
2011,40,131,42730,54591,63949,29080,35297
2011,40,143,318171,46466,57451,28179,28353
2011,40,145,33892,49605,58794,23559,30467
2011,41,003,41751,42513,66746,18721,17807
2011,41,005,193999,58055,70110,36375,31919
2011,41,017,82480,46984,59955,29936,25203
2011,41,019,45900,38502,44824,24085,21834
2011,41,029,98354,39138,48505,26236,21425
2011,41,033,32070,37048,43485,20113,21582
2011,41,035,30170,36464,45625,21503,21968
2011,41,039,172926,40584,53086,24591,21233
2011,41,043,53682,42565,49572,27966,25735
2011,41,047,147636,44051,50890,31606,22901
2011,41,051,419711,46888,60913,33713,27299
2011,41,053,34652,53252,64488,22225,24704
2011,41,059,36668,43502,57362,21006,25918
2011,41,067,292452,62488,72718,41647,32045
2011,41,071,51736,53612,62766,33238,24149
2011,42,001,53728,54906,61664,23621,27914
2011,42,003,647624,49759,66170,28653,30720
2011,42,005,33156,42530,53451,25385,30235
2011,42,007,84065,48901,60583,25558,30299
2011,42,011,213746,52307,64348,30403,30782
2011,42,013,61885,43136,53076,21530,24106
2011,42,017,344306,70617,86196,38579,38971
2011,42,019,97335,54627,68688,33307,30436
2011,42,021,63881,40253,51770,20561,25658
2011,42,025,29911,44139,54326,26442,29288
2011,42,027,80987,46988,75232,22452,19437
2011,42,029,268105,79160,97694,43011,40628
2011,42,033,38124,42780,55507,17746,27606
2011,42,037,32569,39730,51341,18484,24405
2011,42,039,40973,41199,53752,22653,21560
2011,42,041,128520,58824,71187,35485,30822
2011,42,043,144837,51871,67762,33579,31064
2011,42,045,288657,60102,76733,34392,35154
2011,42,049,144679,41975,53344,25673,23622
2011,42,051,59536,37052,45747,21175,23662
2011,42,055,75073,49068,58416,26870,29856
2011,42,063,42640,42498,56882,22342,21053
2011,42,069,106486,44284,56490,26620,27247
2011,42,071,275725,53387,64566,28471,27110
2011,42,073,42835,41606,54233,22558,26228
