Year,StateCode,CountyCode,population,medianRealEstateTax,medianHouseholdCosts,totalHouses,medianHomeVal
2011,22,079,132374,505,622,30385,115800
2011,22,097,83552,253,471,21393,94200
2011,22,103,236785,1602,1071,66210,191500
2011,22,105,122571,443,692,31067,137200
2011,22,109,111917,408,710,27518,135600
2011,23,001,107398,2261,824,28084,154600
2011,23,003,71482,1188,563,21111,93800
2011,23,005,282401,3111,1117,77327,235100
2011,23,011,121935,1766,757,36556,153400
2011,23,019,153786,1677,745,41084,136900
2011,23,031,198199,2671,1046,58177,233100
2011,24,001,74692,1397,616,19011,128400
2011,24,003,544403,2611,1643,148234,332800
2011,24,005,809941,2690,1227,204349,254900
2011,24,009,89256,3358,1811,24075,353900
2011,24,013,167288,3416,1648,49985,321300
2011,24,015,101694,2569,1156,25791,252700
2011,24,017,149130,3076,1744,39261,294100
2011,24,021,236745,3492,1518,65463,296900
2011,24,025,246489,3128,1413,71228,277500
2011,24,027,293142,4790,1792,77207,412400
2011,24,031,989794,4102,1803,239510,443800
2011,24,033,871233,3543,1533,190393,257300
2011,24,037,107484,2590,1495,27038,305500
2011,24,043,148203,2067,1012,37336,206500
2011,24,045,99190,1639,998,23890,175100
2011,24,510,619493,2282,968,116312,154400
2011,25,001,215769,2667,1303,72494,367100
2011,25,003,130458,2535,882,38806,205900
2011,25,005,548922,2934,1039,131281,280300
2011,25,009,748930,4001,1335,183405,339700
2011,25,011,71599,3146,947,20615,214300
2011,25,013,463783,2916,958,110250,200200
2011,25,015,157822,3461,1064,38006,265000
2011,25,017,1518171,4600,1537,361054,391500
2011,25,021,675436,4575,1662,178307,387600
2011,25,023,497579,3876,1511,136379,326400
2011,25,025,730932,2993,1349,102133,352300
2011,25,027,801227,3316,1178,192527,255900
2011,26,005,111234,1946,836,33727,136000
2011,26,017,107110,1747,676,34223,90300
2011,26,021,156941,1635,750,41916,124400
2011,26,025,135490,1923,724,35513,100000
2011,26,037,75469,2335,922,23715,144500
2011,26,045,108056,2366,865,31110,130800
2011,26,049,422080,1865,786,113523,87900
2011,26,055,88349,2276,930,26228,169400
2011,26,065,281613,2766,848,61645,119500
2011,26,073,70622,1780,739,13880,113100
2011,26,075,159748,1637,840,41285,107200
2011,26,077,252074,2463,831,64273,137700
2011,26,081,608453,2289,872,160055,134900
2011,26,087,88082,1706,921,27177,122300
2011,26,091,99440,2002,807,29392,116100
2011,26,093,181722,2698,1261,54631,176400
2011,26,099,842145,2523,922,243240,118400
2011,26,103,67694,1393,631,17646,124600
2011,26,111,84063,2238,780,26042,134000
2011,26,115,151560,1989,936,45441,137100
2011,26,121,171302,1641,697,47556,94600
2011,26,125,1210145,3268,1148,344381,163900
2011,26,139,266300,2255,878,71918,151500
2011,26,145,199088,1672,748,54407,96700
2011,26,147,161642,1876,849,47068,116500
2011,26,155,69841,1721,815,20345,106900
2011,26,159,76131,1795,774,21692,110500
2011,26,161,347962,3769,1106,80577,196200
2011,26,163,1802096,2333,848,429900,83100
2011,27,003,333140,2346,1255,98832,185200
2011,27,019,92638,2992,1477,28032,245200
2011,27,037,402006,2468,1300,116752,216600
2011,27,053,1168431,2948,1160,304031,225200
2011,27,109,145769,1927,1011,42974,169600
2011,27,123,514696,2520,975,120690,192500
2011,27,137,200255,1249,715,59236,137400
2011,27,139,132556,2841,1515,38911,235000
2011,27,141,89319,2379,1199,23228,207700
2011,27,145,151343,1781,912,40316,166100
2011,27,163,241280,2526,1364,72230,228100
2011,27,171,126437,2095,1302,38467,184000
2011,28,033,164053,1062,951,44607,145700
2011,28,035,75842,1021,710,14583,117400
2011,28,047,191040,858,823,44255,137700
2011,28,049,248184,994,762,51479,103600
2011,28,059,139901,1087,852,36302,126000
2011,28,067,68075,675,578,18731,96500
2011,28,075,80475,740,641,19811,89300
2011,28,081,84156,937,714,21653,106700
2011,28,089,96941,1462,815,26866,204300
2011,28,121,143702,950,881,42075,145200
2011,29,019,165627,1517,833,35250,164100
2011,29,021,89666,906,684,20655,106100
2011,29,031,76632,1044,694,18234,135800
2011,29,037,100052,1638,1051,28035,156400
2011,29,043,78570,1160,842,20584,136600
2011,29,047,225161,1979,1073,62243,156100
2011,29,051,76448,1352,721,19208,147300
2011,29,071,101938,1372,801,30791,151400
2011,29,077,277214,1099,712,67166,125900
2011,29,095,676360,1671,878,164104,125900
2011,29,097,118435,751,719,29766,100200
2011,29,099,219480,1287,925,66501,148300
2011,29,165,90903,2537,1093,23855,188000
2011,29,183,365151,2429,1193,109035,185500
2011,29,187,65578,822,626,14807,98200
2011,29,189,998692,2363,1004,282134,173400
2011,29,510,318069,1228,778,59720,120500
2011,30,013,81837,1402,702,21605,152400
2011,30,029,91301,1734,876,26902,220600
2011,30,031,91377,2039,957,23129,260500
2011,30,063,110138,2268,800,26138,243500
2011,30,111,150069,1663,810,41813,174400
2011,31,055,524861,2912,934,126368,142000
2011,31,109,289800,2781,850,68973,149200
2011,31,153,162561,3285,1099,40945,163600
2011,32,003,1969975,1577,1093,373500,153800
2011,32,031,425710,1809,1038,92389,177400
2011,33,005,76918,4760,1134,21177,196900
2011,33,009,88923,4014,965,23282,209100
2011,33,011,401696,5297,1297,102156,250600
2011,33,013,146579,5003,1315,44013,230400
2011,33,015,296207,5527,1484,89779,274200
2011,33,017,123857,4830,1172,29653,220100
2011,34,001,274338,5034,1253,66755,233000
2011,34,003,911004,9234,1736,212148,447600
2011,34,005,449576,5934,1482,127371,247100
2011,34,007,513241,6108,1265,125784,215300
2011,34,009,96601,3993,1242,30796,323100
2011,34,011,157095,3959,1124,34269,166600
2011,34,013,785137,9236,1323,123007,371100
2011,34,015,289104,5929,1479,82427,223700
2011,34,017,641224,7305,1293,79974,339100
2011,34,019,128038,8757,2066,39847,403800
2011,34,021,367063,6736,1447,85864,282700
2011,34,023,814217,6837,1520,181221,328300
2011,34,025,631020,7426,1735,175250,387400
2011,34,027,494976,8487,1927,135385,420400
2011,34,029,579369,4664,1389,177659,266500
2011,34,031,502007,8685,1393,87579,349100
2011,34,033,65902,4883,1129,17534,193700
2011,34,035,324893,8237,1953,87589,395100
2011,34,037,148517,6704,1798,45764,284200
2011,34,039,539494,8348,1516,111620,354200
2011,34,041,108339,6238,1545,32637,258500
2011,35,001,670968,1672,865,164350,185100
2011,35,005,65890,560,546,16380,94400
2011,35,013,213598,823,668,49992,136700
2011,35,025,65423,514,690,14469,99600
2011,35,031,73664,871,341,12067,71400
2011,35,035,65703,591,605,16022,93300
2011,35,043,134259,1609,1001,37336,182200
2011,35,045,128200,737,674,32233,155800
2011,35,049,145648,1397,1050,40028,292300
2011,35,061,77070,914,786,23244,141600
2011,36,001,303565,3852,1012,73783,207800
2011,36,005,1392002,3015,1043,88816,372100
2011,36,007,199031,2683,738,52647,109400
2011,36,009,79832,2444,677,22086,81600
2011,36,011,79738,2738,743,22547,102300
2011,36,013,134368,2266,648,37641,81500
2011,36,015,88840,2350,729,23431,96900
2011,36,019,81945,2426,789,21909,115800
2011,36,027,297999,5692,1448,73102,287400
2011,36,029,918028,3277,787,246434,124400
2011,36,045,117910,2139,888,25715,127800
2011,36,047,2532645,3307,1184,258193,563200
2011,36,051,65070,3273,858,18063,118400
2011,36,053,73365,3193,807,20292,122500
2011,36,055,745625,4052,911,191120,135100
2011,36,059,1344436,9510,2094,352815,450200
2011,36,061,1601948,6581,1496,159713,856700
2011,36,063,216011,3091,717,61251,102300
2011,36,065,234287,2717,777,59586,111300
2011,36,067,466960,3643,902,120887,134000
2011,36,069,108525,3354,876,33199,137100
2011,36,071,374872,6235,1476,85693,272400
2011,36,075,122228,2379,778,30718,94700
2011,36,079,99933,7851,1938,28826,359900
2011,36,081,2247848,3301,1324,328495,440700
2011,36,083,159395,4325,990,41641,178600
2011,36,085,470467,3371,1526,111548,441000
