CountyCode,StateCode,Year,medianFamilyIncome,medianHomeVal,medianHouseIncome,medianHouseholdCosts,medianNonFamIncome,medianRealEstateTax,medianWorkerIncome,population,totalHouses,workers,meanIncome,medianAge,medianIncome,povertyPop,StateAndCounty
041,08,2011,66828,213800,54797,1098,32235,1130,30030,636963,148824,337962,237729,33.8,237729,41706,91
059,08,2011,80152,255700,64292,1196,39592,1838,36699,539884,151759,305255,217829,40.7,217829,20991,92
069,08,2011,70682,241500,55219,1123,33952,1625,26477,305525,78924,172063,121911,35.7,121911,24942,93
077,08,2011,59447,202200,47664,920,29879,1160,26968,147083,42723,74762,59770,37.6,59770,8992,94
101,08,2011,53277,136500,40965,803,23885,1001,24870,160545,40641,76404,62181,38.9,62181,12178,95
123,08,2011,59610,197400,51059,1055,29197,1228,31375,258638,60874,127931,90453,33.6,90453,21495,96
001,09,2011,102292,440700,77289,1733,42636,6851,40108,925899,224687,500760,331530,39.6,331530,42982,97
003,09,2011,78161,240500,60965,1203,35283,4694,36056,894705,225826,486029,347164,40.3,347164,47029,98
005,09,2011,86119,265500,69097,1385,36259,4462,40092,188789,58913,106445,75386,44.8,75386,7637,99
007,09,2011,94100,308400,77193,1434,47166,5033,40960,166043,47757,92914,64073,43.2,64073,3835,100
009,09,2011,71994,254200,59245,1287,36315,5101,35348,861113,207792,470892,326523,39.5,326523,49575,101
011,09,2011,81353,252600,64788,1232,38868,3823,33084,273502,74577,148855,108239,40.7,108239,11066,102
013,09,2011,92469,247600,78210,1345,42204,4500,36276,152507,39669,85359,53696,37.9,53696,5887,103
015,09,2011,68826,204200,55744,1123,33206,3336,31827,118151,31838,66881,45032,39.4,45032,5007,104
001,10,2011,60015,200200,52512,1034,25690,872,30016,164834,39697,83555,56799,36.7,56799,11039,105
003,10,2011,76935,244600,63716,1187,40476,1522,36509,541971,139484,285940,202188,37.1,202188,30806,106
005,10,2011,62226,241700,53644,974,32717,765,27060,200330,59379,95475,74205,45.9,74205,9121,107
001,11,2011,75603,422400,63124,1401,56745,2431,46112,617996,110625,352716,268670,33.4,268670,60274,108
001,12,2011,63280,164100,39636,892,22768,2000,25241,249365,48347,126059,96472,29.8,96472,40248,109
005,12,2011,57165,156000,44310,933,32197,1014,26864,169856,43511,87685,69884,40,69884,10299,110
